,district,rooms,size,level,max_levels,price,kocha_grouped
1915,Учтепинский,1,42.0,3,5,32000.0,Чиланзар 26-й квартал
1916,Учтепинский,4,80.0,5,5,48000.0,Чиланзар 25-й квартал
1917,Учтепинский,2,42.0,1,4,32000.0,Чиланзар 24-й квартал
1918,Яккасарайский,2,98.0,6,8,95000.0,Конституция
1919,Олмазорский,3,70.0,3,4,41000.0,Каракамыш квартал 1/3
1920,Яшнободский,3,75.0,4,9,62000.0,жилой комплекс Green Park
1921,Мирзо-Улугбекский,3,130.0,3,9,155000.0,Дархан
1922,Мирабадский,4,120.0,1,4,135000.0,Нукус
1923,Сергелийский,3,56.0,1,7,45000.0,other_medium
1924,Юнусабадский,3,70.0,1,4,60000.0,Юнусабад 8-й квартал
1925,Чиланзарский,3,98.0,8,10,60000.0,Чиланзар 19-й квартал
1926,Олмазорский,5,100.0,4,4,54000.0,Каракамыш квартал 1/2
1927,Мирабадский,4,121.0,5,9,115000.0,Нукус
1928,Юнусабадский,2,58.0,4,5,33500.0,Юнусабад 9-й квартал
1929,Мирабадский,4,92.0,2,5,55000.0,Куйлюк 4-й квартал
1930,Сергелийский,3,80.0,8,9,41000.0,Куйлюк 6-й квартал
1931,Мирзо-Улугбекский,3,72.0,4,4,41000.0,Мирзо-Улугбекский район массив Феруза-2
1932,Бектемирский,1,41.0,2,2,19000.0,other_very_low
1933,Юнусабадский,4,200.0,4,5,220000.0,Малая кольцевая дорога
1934,Юнусабадский,5,280.0,6,8,320000.0,Кичик Халка йули
1935,Олмазорский,4,83.0,5,5,40000.0,Бешкурган 2-й квартал
1936,Яккасарайский,3,72.0,3,4,95000.0,Мирабад
1937,Мирзо-Улугбекский,3,60.0,4,4,29000.0,other_very_low
1938,Яккасарайский,3,76.0,5,9,43500.0,Кушбеги
1939,Яккасарайский,1,38.0,2,5,27500.0,Кушбеги
1940,Чиланзарский,1,27.0,3,3,19500.0,Чиланзар 2-й квартал
1941,Яккасарайский,2,58.0,5,5,41000.0,Кушбеги
1942,Мирзо-Улугбекский,4,80.0,5,5,47000.0,Феруза-1
1943,Мирзо-Улугбекский,3,80.0,4,4,88000.0,other_very_high
1944,Мирзо-Улугбекский,1,36.0,4,4,21000.0,Феруза-1
1945,Юнусабадский,5,254.0,1,8,285000.0,ц-5 Киёт (Ц-5) 
1946,Юнусабадский,6,252.0,1,8,285000.0,ц-4 Кашгар (Ц-4) 
1947,Учтепинский,1,40.0,2,4,26500.0,Чиланзар 21-й квартал
1948,Юнусабадский,2,52.0,3,4,75000.0,Юнусабад 11-й квартал
1949,Мирабадский,2,65.0,5,9,71000.0,1-й проезд Катта Миробод
1950,Чиланзарский,2,48.0,3,4,31000.0,Чиланзар 18-й квартал
1951,Юнусабадский,2,85.0,5,9,105000.0,Юнусабад 15-й квартал
1952,Яшнободский,2,59.0,3,6,25408.0,other_very_low
1953,Чиланзарский,1,32.0,3,4,30000.0,Чиланзар 3-й квартал
1954,Мирабадский,3,65.0,2,2,32500.0,Янгизамон
1955,Мирабадский,2,68.0,5,5,44500.0,Госпитальный
1956,Шайхантахурский,3,72.0,8,9,55000.0,проспект Бунёдкор
1957,Юнусабадский,2,65.0,3,4,76000.0,Юнусабад 11-й квартал
1958,Олмазорский,3,183.0,3,4,90000.0,Камарнисо
1959,Учтепинский,2,50.0,1,4,40000.0,Чиланзар 14-й квартал
1960,Олмазорский,4,130.0,4,4,80000.0,Каракамыш квартал 2/5
1961,Яшнободский,1,42.0,4,8,14800.0,1-й проезд Иззат
1962,Олмазорский,3,96.0,4,5,145000.0,Чимбой
1963,Мирзо-Улугбекский,3,88.0,2,4,132000.0,Буюк Ипак Йули
1964,Чиланзарский,2,84.0,3,7,69000.0,Чиланзар 10-й квартал
1965,Мирзо-Улугбекский,3,85.0,4,4,84000.0,Буюк Ипак Йули
1966,Юнусабадский,2,60.0,6,9,55000.0,Юнусабад 11-й квартал
1967,Чиланзарский,3,77.0,1,4,48000.0,Шарк
1968,Юнусабадский,6,252.0,1,8,285000.0,Киёт
1969,Чиланзарский,3,60.0,4,4,57500.0,Чиланзар 8-й квартал
1970,Чиланзарский,4,135.0,4,4,95000.0,Чиланзар квартал И
1971,Учтепинский,4,97.0,1,9,82000.0,Чиланзар 25-й квартал
1972,Яккасарайский,2,82.0,6,9,49200.0,Мухандислар
1973,Учтепинский,1,40.0,1,4,25500.0,Чиланзар 23-й квартал
1974,Мирабадский,4,130.0,3,9,105000.0,проспект Амира Темура
1975,Яккасарайский,2,64.0,1,5,42000.0,Кушбеги
1976,Учтепинский,3,72.0,4,9,43500.0,Чиланзар 24-й квартал
1977,Мирзо-Улугбекский,1,26.0,1,3,17000.0,other_very_low
1978,Мирзо-Улугбекский,3,100.0,5,7,70000.0,Паркентская (Генерала Петрова) 
1979,Яшнободский,3,72.0,4,4,80000.0,other_very_high
1980,Мирабадский,2,62.0,9,9,46000.0,other_medium
1981,Мирабадский,3,75.0,3,4,75000.0,other_high
1982,Мирзо-Улугбекский,1,35.0,4,4,29000.0,other_very_low
1983,Мирзо-Улугбекский,1,41.0,1,5,28000.0,Буз-2 (Буз) 
1984,Яккасарайский,1,39.0,1,5,26700.0,Кушбеги
1985,Юнусабадский,4,94.0,1,9,66000.0,Юнусабад 16-й квартал
1986,Олмазорский,3,70.0,4,4,37500.0,Олимпия
1987,Мирзо-Улугбекский,3,80.0,3,4,115000.0,Буюк Ипак Йули
1988,Чиланзарский,2,50.0,2,4,46000.0,Чиланзар 8-й квартал
1989,Мирзо-Улугбекский,4,90.0,2,4,123000.0,Буюк Ипак Йули
1990,Юнусабадский,5,254.0,1,8,285000.0,проспект Амира Темура
1991,Мирзо-Улугбекский,2,42.0,2,4,81000.0,Буюк Ипак Йули
1992,Мирзо-Улугбекский,3,90.0,4,7,55500.0,Паркент
1993,Мирабадский,4,121.0,2,8,140000.0,Мирабад
1994,Учтепинский,4,80.0,3,5,52000.0,Чиланзар 15-й квартал
1995,Чиланзарский,1,30.0,1,3,25000.0,Чиланзар 3-й квартал
1996,Мирзо-Улугбекский,3,70.0,3,4,100000.0,Садыка Азимова (Жуковского) 
1997,Мирзо-Улугбекский,3,105.0,5,5,100000.0,ц-1 Буюк ипак йули (Ц-1) 
1998,Мирзо-Улугбекский,3,72.0,4,5,67000.0,Элобод
1999,Мирабадский,5,300.0,3,8,425000.0,Тараса Шевченко
2000,Юнусабадский,3,70.0,1,4,72500.0,Минор
2001,Яккасарайский,3,105.0,7,10,135000.0,Глинка
2002,Мирзо-Улугбекский,2,55.0,4,4,60000.0,Буюк Ипак Йули
2003,Чиланзарский,3,72.0,2,4,54000.0,Сугалли-ота
2005,Мирзо-Улугбекский,1,40.0,3,4,60000.0,Буюк Ипак Йули
2007,Чиланзарский,4,132.0,3,8,88308.0,other_very_high
2008,Шайхантахурский,3,68.41,4,9,60000.0,Дружба Народов
2009,Чиланзарский,3,97.0,4,8,64505.0,other_high
2010,Мирзо-Улугбекский,2,59.0,2,4,57500.0,Буюк Ипак Йули
2011,Чиланзарский,3,97.0,3,8,64505.0,Чиланзар квартал Ц
2012,Мирзо-Улугбекский,2,62.0,9,9,56500.0,Буюк Ипак Йули
2013,Чиланзарский,3,97.0,7,8,67997.0,Чиланзар квартал Ц
2014,Яккасарайский,2,46.0,3,5,46500.0,Бабура
2015,Яшнободский,1,45.0,2,5,26000.0,Тузель 1-й квартал
2016,Юнусабадский,5,140.0,7,7,77000.0,Чинабад
2017,Яккасарайский,1,39.0,5,5,26700.0,Башлык
2018,Шайхантахурский,4,125.0,1,5,118000.0,Бельтепа
2019,Мирабадский,2,43.0,4,4,20800.0,other_very_low
2020,Яшнободский,3,72.0,8,9,64000.0,Махтумкули
2021,Шайхантахурский,5,150.0,2,2,138000.0,Ипакчи
2022,Шайхантахурский,2,75.0,4,7,47000.0,other_medium
2023,Чиланзарский,3,97.0,7,8,67997.0,Чиланзар-Ц
2024,Юнусабадский,1,42.0,3,4,48500.0,Кашгар
2025,Яккасарайский,5,116.0,3,9,88000.0,Башлык
2026,Чиланзарский,3,97.0,2,8,66445.0,Чиланзар квартал Ц
2027,Шайхантахурский,3,68.41,4,9,60000.0,Дружба Народов
2028,Мирзо-Улугбекский,2,43.0,5,5,49000.0,Буюк Ипак Йули
2029,Чиланзарский,4,132.0,1,8,96096.0,Чиланзар-Ц
2030,Чиланзарский,4,132.0,1,8,96096.0,Чиланзар-Ц
2031,Чиланзарский,3,97.0,1,8,72944.0,Чиланзар квартал Ц
2032,Мирабадский,3,110.0,5,9,105000.0,Ойбек
2033,Чиланзарский,3,97.0,1,8,72944.0,Чиланзар квартал Ц
2034,Сергелийский,4,96.0,8,9,46000.0,other_medium
2035,Чиланзарский,3,97.0,1,8,72750.0,Чиланзар-Ц
2036,Яшнободский,1,37.0,2,8,13067.0,other_very_low
2037,Чиланзарский,3,97.0,8,8,59849.0,Чиланзар-Ц
2038,Чиланзарский,3,97.0,8,8,59849.0,Чиланзар-Ц
2039,Учтепинский,2,57.0,1,4,40000.0,Чиланзар 12-й квартал
2040,Мирзо-Улугбекский,3,126.0,5,6,141922.0,other_very_high
2041,Юнусабадский,2,55.0,5,5,29500.0,other_very_low
2042,Мирзо-Улугбекский,2,57.0,5,5,45000.0,Буюк Ипак йули (Луначарское) 
2043,Чиланзарский,3,97.0,8,8,59849.0,Чиланзар-Ц
2044,Чиланзарский,3,97.0,5,8,61692.0,Чиланзар квартал Ц
2045,Юнусабадский,3,68.0,3,4,63000.0,Кашгар
2046,Чиланзарский,1,24.0,3,3,20000.0,Чиланзар 2-й квартал
2047,Мирзо-Улугбекский,3,80.0,2,4,92000.0,Буюк Ипак Йули
2048,Юнусабадский,3,100.0,2,4,88000.0,Минор
2049,Юнусабадский,4,82.0,1,2,104000.0,Кашгар
2050,Мирабадский,2,65.0,2,4,85000.0,Шахрисабз
2051,Юнусабадский,4,88.0,4,4,78000.0,Кашгар
2052,Юнусабадский,4,90.0,4,5,150000.0,Богибустон
2053,Яккасарайский,4,130.0,1,5,236000.0,other_very_high
2054,Сергелийский,3,105.6,9,9,45474.0,Курувчи
2055,Яккасарайский,3,70.0,3,3,55000.0,other_high
2056,Яккасарайский,1,43.0,5,16,38500.0,Ул Нукуская
2057,Яккасарайский,5,115.0,4,5,70500.0,Кушбеги
2058,Яшнободский,3,80.0,2,4,74000.0,other_high
2059,Чиланзарский,2,42.0,2,4,32500.0,other_low
2060,Учтепинский,2,42.0,1,4,34000.0,other_low
2061,Чиланзарский,2,40.0,3,4,38500.0,Чиланзар 7-й квартал
2062,Мирабадский,3,83.0,7,9,65000.0,Айбек
2063,Яшнободский,2,56.0,4,9,53000.0,Дустобод
2064,Учтепинский,3,115.0,6,9,80000.0,Чиланзар квартал Г9А
2065,Юнусабадский,4,97.0,2,9,80000.0,Юнусабад 3-й квартал
2066,Чиланзарский,6,120.0,1,4,84000.0,other_very_high
2067,Мирабадский,4,200.0,6,9,162000.0,Ойбек
2068,Яшнободский,3,75.0,5,9,79000.0,С.Азимова
2069,Мирзо-Улугбекский,3,76.0,2,5,57000.0,Карасу 3-й квартал
2070,Чиланзарский,3,54.0,4,4,37000.0,Чиланзар 7-й квартал
2071,Шайхантахурский,3,72.0,8,9,42500.0,other_medium
2072,Олмазорский,1,40.0,5,5,23500.0,other_very_low
2073,Олмазорский,2,60.0,1,4,40000.0,other_low
2074,Мирзо-Улугбекский,2,63.0,4,9,55500.0,Паркентский
2075,Мирабадский,5,120.0,8,9,115000.0,other_very_high
2076,Мирабадский,4,100.0,2,16,98000.0,Нукус
2077,Сергелийский,5,120.0,9,9,59000.0,other_high
2078,Мирабадский,3,105.0,7,7,95000.0,other_very_high
2079,Мирабадский,3,94.0,2,7,96000.0,other_very_high
2080,Мирзо-Улугбекский,3,75.0,4,9,66000.0,ДАРХАН
